"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"송정해수욕장",임해봉사실,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2009-01,부산광역시 해운대구 송정해변로 62,부산광역시 해운대구 송정동 712-1,부산광역시,051-888-4601,35.179475,129.199578,2018-02-12
"송정해수욕장",죽도공원앞화장실,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2009-01,부산광역시 해운대구 송정동 288-60,부산광역시 해운대구 송정동 288-60,부산광역시,051-888-4601,35.179815,129.205194,2018-02-12
"송정해수욕장",송정해수욕장입구굴다리앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 송정동 913-4,부산광역시 해운대구 송정동 913-4,부산광역시,051-888-4601,35.176043,129.197121,2018-02-12
"시립미술관",시립미술관,부산광역시,해운대구,지역문화시설,부산광역시,Dynamic Busan,2009-01,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4601,35.165074,129.134747,2018-02-12
"해운대해수욕장",다비치안경점 앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 구남로 29,부산광역시 해운대구 중동 1393-5,부산광역시,051-888-4601,35.159959,129.162114,2018-02-12
"해운대해수욕장",농협 맞은 편,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 구남로 23,부산광역시 해운대구 중동 1383-9,부산광역시,051-888-4601,35.159959,129.162114,2018-02-12
"해운대해수욕장",뉴비치호텔앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 277,부산광역시 해운대구 중동 1412-1,부산광역시,051-888-4601,35.161028,129.163979,2018-02-12
"해운대해수욕장",관광사업소앞도로변,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,부산광역시,051-888-4601,35.159959,129.162114,2018-02-12
"해운대해수욕장",해운대우체국주변,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로265번길 6,부산광역시 해운대구 중동 1391-72,부산광역시,051-888-4601,35.159959,129.162114,2018-02-12
"해운대해수욕장",삼거리길건너편,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 277,부산광역시 해운대구 중동 1412-1,부산광역시,051-888-4601,35.159544,129.157988,2018-02-12
"해운대해수욕장",글로리콘도앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 243,부산광역시 해운대구 우동 628-5,부산광역시,051-888-4601,35.159354,129.160371,2018-02-12
"해운대해수욕장",포장마차촌,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 236,부산광역시 해운대구 우동 622-4,부산광역시,051-888-4601,35.159985,129.161167,2018-02-12
"해운대해수욕장",오션스카이앞,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 203,부산광역시 해운대구 우동 760-3,부산광역시,051-888-4601,35.158386,129.157304,2018-02-12
"해운대해수욕장",동백사거리신호등,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 우동 1151-14,부산광역시 해운대구 우동 1151-14,부산광역시,051-888-4601,35.158573,129.154577,2018-02-12
"해운대해수욕장",노보텔앞삼거리신호등,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 중동 1439-32,부산광역시 해운대구 중동 1439-32,부산광역시,051-888-4601,35.158019,129.152419,2018-02-12
"해운대해수욕장",대림맨션앞도로변,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 해운대해변로 302,부산광역시 해운대구 중동 1405-10,부산광역시,051-888-4601,35.159546,129.168097,2018-02-12
"해운대해수욕장",해운대시장입구(구청쪽),부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 중동1로 33-1,부산광역시 해운대구 중동 1378-7,부산광역시,051-888-4601,35.162449,129.163234,2018-02-12
"해운대해수욕장",동백섬등대광장,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2007-01,부산광역시 해운대구 우동 710-1,부산광역시 해운대구 우동 710-1,부산광역시,051-888-4601,35.152417,129.152543,2018-02-12
"해운대해수욕장",노보텔앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 중동 1411-14,부산광역시 해운대구 중동 1411-14,부산광역시,051-888-4601,35.160846,129.163499,2018-02-12
"해운대해수욕장",파라다이스호텔앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 중동 1408-17,부산광역시 해운대구 중동 1408-17,부산광역시,051-888-4601,35.159544,129.163032,2018-02-12
"해운대해수욕장",팔레드시즈앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 중동 1055-5,부산광역시 해운대구 중동 1055-5,부산광역시,051-888-4601,35.159626,129.164829,2018-02-12
"해운대해수욕장",엘시티앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 중동 1039-9,부산광역시 해운대구 중동 1039-9,부산광역시,051-888-4601,35.159668,129.166629,2018-02-12
"해운대해수욕장",관광사업소앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,부산광역시,051-888-4601,35.159039,129.160315,2018-02-12
"해운대해수욕장",공영주차장앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 우동 622-31,부산광역시 해운대구 우동 622-31,부산광역시,051-888-4601,35.158638,129.158378,2018-02-12
"해운대해수욕장",포장마차촌앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 우동 699-8,부산광역시 해운대구 우동 699-8,부산광역시,051-888-4601,35.158309,129.157057,2018-02-12
"해운대해수욕장",송림공원앞해변가,부산광역시,해운대구,관광,부산광역시,Dynamic Busan,2016-01,부산광역시 해운대구 우동 706,부산광역시 해운대구 우동 706,부산광역시,051-888-4601,35.157112,129.155395,2018-02-12
"대한적십자 해운대점",민원실,부산광역시,해운대구,관공서,KT,Public WiFi,2012-01,부산광역시 해운대구 구남로29번길 38,부산광역시 해운대구 중1동 1394-385,부산광역시,051-888-4601,35.1625885,129.1623498,2018-02-12
"로뎀요양병원",병원,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,2014-12,부산광역시 해운대구 아랫반송로1번길 27-3,부산광역시 해운대구 반송1동 696-1,부산광역시,051-888-4601,35.2267783,129.1469633,2018-02-12
"반송1동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 아랫반송로 16 (반송동),부산광역시 해운대구 반송동 717-5번지,부산광역시,051-888-4601,35.2251983,129.1478078,2018-02-12
"반송2동 시장",시장,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,2013-10,부산광역시 해운대구 윗반송로51번길 86,부산광역시 해운대구 반송2동 40-762,부산광역시,051-888-4601,35.2311218,129.1562102,2018-02-12
"반송2동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 신반송로 173 (반송동),부산광역시 해운대구 반송동 890번지,부산광역시,051-888-4601,35.2287988,129.1603701,2018-02-12
"반송3동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 반송순환로 158 (반송동),부산광역시 해운대구 반송동 259-113번지,부산광역시,051-888-4601,35.2245734,129.1522136,2018-02-12
"반송골목시장",시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 아랫반송로39번길 18-12,부산광역시 해운대구 반송동 250-410,부산광역시,051-888-4601,35.224018,129.150362,2018-02-12
"반송보건지소",민원실,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 반송로 853 (반송동),부산광역시 해운대구 반송동 683-48번지,부산광역시,051-888-4601,35.2298342,129.1475114,2018-02-12
"반송복지관(해운대)",복지관,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 아랫반송로1번길 15,부산광역시 해운대구 반송1동 697-2,부산광역시,051-888-4601,35.2263444,129.1468777,2018-02-12
"반여1동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 선수촌로 85 (반여동),부산광역시 해운대구 반여1동 1441-34번지,부산광역시,051-888-4601,35.2012552,129.1189954,2018-02-12
"반여2동 상가시장",시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 해운대로61번길 95-47,부산광역시 해운대구 반여2동 1291-918번지,부산광역시,051-888-4601,35.1956196,129.1286673,2018-02-12
"반여2동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 재반로211번길 9 (반여동),부산광역시 해운대구 반여동 1291-836번지,부산광역시,051-888-4601,35.1959634,129.1301538,2018-02-12
