약국명칭,약국전화번호,약국소재지(도로명), 위도, 경도
해오름약국,051-759-7582,"부산광역시 수영구 수영로 517, 센터럴타워 101호 (광안동)",35.152109,129.111318
신혜약국,051-622-1772,"부산광역시 수영구 광안해변로 95, 비치아파트 에이상가 105호 (남천동)",35.143233,129.114007
메디팜큰사랑약국,070-4300-4520,"부산광역시 수영구 수영로 711, 203호 (수영동)",35.168298,129.117246
광안자연약국,051-757-7571,"부산광역시 수영구 수영로 581, 1층 (광안동)",35.157684,129.11281
대남약국,051-900-9611,"부산광역시 수영구 수영로 394, 1층 (남천동, 남천동 메디칼센타)",35.141426,129.107595
바다온누리약국,051-753-7522,"부산광역시 수영구 수영로 551, 1층 (광안동)",35.155075,129.11228
열린약국,051-753-2851,"부산광역시 수영구 연수로 419, 1층 (수영동)",35.167842,129.114847
광안그린약국,051-752-7980,"부산광역시 수영구 광일로 49, 109동 상가102-1호 (광안동, 비치그린아파트)",35.163022,129.108744
좋은약국,051-754-1095,"부산광역시 수영구 과정로 55, 1층 (망미동)",35.176368,129.107136
글로리온누리약국,051-623-4700,"부산광역시 수영구 수영로 411, 1층 (남천동)",35.143023,129.108429
다올약국,051-758-7585,"부산광역시 수영구 수영로 577-1, 1층 (광안동)",35.157423,129.112806
행복한약국,051-753-1888,"부산광역시 수영구 수영로 611, 1층 (광안동)",35.16031,129.113471
7번약국,051-752-2525,"부산광역시 수영구 수영로 690-5, 102호 (광안동)",35.167049,129.115868
디온약국,051-755-3178,"부산광역시 수영구 수영로 699, 102호 (수영동, 수영동디온플레이스)",35.167905,129.11588
수영센텀약국,051-757-0021,"부산광역시 수영구 수영로 681, 1층 (광안동)",35.166609,129.114709
소희약국,051-757-6365,"부산광역시 수영구 과정로 73, 1층 (망미동)",35.177847,129.107002
더나은약국,051-759-7755,"부산광역시 수영구 수영로 671, 1층 (광안동)",35.165772,129.1145
삼익약국,051-622-9842,"부산광역시 수영구 광남로 12, 1층 (남천동)",35.144036,129.109957
스마일 약국,051-757-5251,"부산광역시 수영구 광남로 199, 1층 (광안동)",35.158532,129.120636
